"X001","X002","X003","X004","X005","X006","X007","X008","X009","X010","X011","X012","X013","X014","X015","X016","X017","X018","X019","X020","X021","X022","X023","X024","X025","X026","X027","X028","X029","X030","X031","X032","X033","X034","X035","X036","X037","X038","X039","X040","X041","X042","X043","X044","X045","X046","X047","X048","X049","X050","X051","X052","X053","X054","X055","X056","X057","X058","X059","X060","X061","X062","X063","X064","X065","X066","X067","X068","X069","X070","X071","X072","X073","X074","X075","X076","X077","X078","X079","X080","X081","X082","X083","X084","X085","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207"
46733,45561,43907,46559,46152,50531,49243,48859,66036,53815,52414,51475,54988,57888,68217,62428,49027,54142,46665,48407,45177,42831,41902,40519,40087,40496,39997,40774,36918,38365,41859,42810,47051,49254,46046,48944,49705,52687,53177,54360,56890,57152,60944,65353,59475,58479,70428,76467,63110,80890,73962,75397,70027,79773,65428,73106,65317,63139,73523,77378,85057,83753,76560,78999,78865,87455,99164,88290,88394,94463,110190,97492,64618,63712,76089,63536,58504,56490,57285,61847,74422,50149,55738,54156,50690,64966,67451,66836,64221,62535,56155,57242,63645,60301,50814,51971,47636,45459,47714,47676,46701,46605,46645,38870,48988,49680,67660,68204,45819,38400,39001,34579,36699,38071,34075,30239,14090,17067,22903,22419,0,14332,30895,32250,34954,38960,31662,27498,18359,15988,14160,23700,26066,28130,33621,37043,38443,41030,41547,37453,34999,42988,31630,26174,28686,31955,27526,25849,22196,16638,13562,12888,26051,22523,29278,35148,57223,46181,50248,55260,63801,45142,46653,49210,45025,46565,47822,50157,48051,51833,50254,49529,50123,52762,57970,54807,112895,66043,54140,65128,66840,82195,81130,95004,78113,67355,69283,85622,79163,81836,79445,96636,95754
41007,39836,38182,40833,40426,52580,50351,45027,47309,52007,52164,45749,49262,54959,49490,43701,39086,35415,32599,35217,39451,33812,30097,34794,34362,34771,34271,35049,31193,32639,36133,37084,41325,43529,40321,43218,43979,46961,47451,48635,51164,51426,55219,68190,60326,56068,51701,57740,60183,62163,55235,56670,51300,61046,46701,54379,46590,44412,54796,58651,66330,65026,57834,60272,60138,68728,80438,69563,69667,75736,91463,78765,58892,57987,70363,57810,52779,50765,51559,56121,68696,44424,50012,48431,44964,46240,48724,48109,45494,43808,37428,38516,44918,41574,32087,33244,28909,26732,28987,28949,27975,27878,27918,20143,30261,30953,48933,51229,27092,19673,20275,15852,17973,9868,15348,11512,4581,32353,34348,44567,14596,0,7669,13523,29228,33235,11507,7021,10395,4609,4971,17975,20341,22404,27895,31318,32718,35305,35821,31727,29273,37262,25904,20449,22960,26230,21801,20124,22027,16978,13581,23566,29773,27356,23552,29423,51498,40456,44522,49535,58076,39416,40927,43484,39299,40839,42097,44432,42326,46107,44528,43804,44398,47037,52245,49082,107169,60317,48414,59403,61114,76469,75404,89279,72387,61630,63557,79897,73438,76110,73719,90910,90028
41925,39285,45838,38511,51331,47442,45213,39889,42171,46869,47026,48449,49519,49821,44352,38563,33948,30277,24025,26643,41017,25238,21523,32471,26059,32449,31949,32727,28870,30317,33811,34762,39003,41207,37998,40896,52064,52998,57271,53372,56421,49104,66469,63052,55188,50930,46563,52602,55045,57025,50097,51532,46162,55908,41563,49242,41452,39274,49658,53513,61192,59888,52696,55134,55000,63590,75300,64425,64529,70598,86325,73627,69025,73600,68041,74170,69763,48442,49237,53799,66374,42101,47690,46108,42642,41102,43586,42971,40356,38670,32290,33378,39780,36436,26949,28106,23771,18158,20413,20375,19401,19304,22780,15005,25123,25815,43795,46091,21954,14535,15137,10714,12835,14206,8989,4373,10594,27215,37061,47280,29689,7650,0,7164,26906,30913,8298,4930,6547,8035,9907,11161,13864,17831,24142,28995,30395,32983,33499,29405,26951,34940,23582,16696,20638,23907,19097,17420,19324,22043,26535,36651,27070,24652,20849,26719,49175,38133,42200,47213,55373,37094,38605,41162,36977,38517,39774,42109,40003,43785,42206,41481,42075,44714,49923,46759,104847,57995,46092,57081,58792,74147,73082,86956,70065,59307,61235,77574,71115,73788,71397,88588,87706
36046,33405,29405,42832,45475,41586,39357,34010,36315,41013,41170,42593,43663,43965,38865,30629,28041,24398,21486,24105,35138,22700,18985,23784,23521,24995,33245,26904,30166,31613,35107,28940,40299,42502,39294,45840,46208,47142,51784,47886,48939,50400,60632,57216,47382,45444,40484,46766,49189,51189,44260,45667,39589,42078,35684,43389,35616,33392,50087,53942,61621,53696,46585,49298,50227,57754,69417,58589,58693,64762,80489,67791,63188,67764,69337,68334,63927,49738,50533,55095,67670,43397,48986,47404,43938,41531,34364,31051,29914,31408,26410,24882,32458,36866,21048,22227,24201,15620,17874,17837,6888,16766,23209,15434,25552,26244,44224,46521,22384,14965,15566,11143,7934,14635,3320,4651,14365,27644,37485,47704,30113,10545,5880,0,28202,32208,9594,8423,9847,11213,13079,12457,15160,19127,25438,30291,31691,34278,34795,30701,28247,36236,24878,17992,21934,25203,20393,18716,20620,23338,27831,37947,28366,25948,22145,28015,50471,39429,43496,48508,56668,38390,39901,42458,38273,39813,41070,43405,41299,45081,43502,42777,43371,46010,51218,48055,106143,59291,47388,58376,60088,75443,74378,88252,71361,60603,62531,78870,72411,75084,72693,89884,89002
13749,12577,10924,16313,14926,24536,16259,15875,21372,27864,26226,24181,28165,31309,23785,17978,16044,17666,13681,15423,12193,7877,7389,5565,7104,7513,7013,7790,5181,6628,10741,9826,11766,23328,18707,22287,25002,26483,30263,27305,29985,29813,34923,39436,33906,31478,25404,36535,36055,38325,31397,32820,25747,28236,21843,30534,23560,26203,31639,40992,38943,40848,33738,36434,37380,44397,56570,45725,45829,51898,67625,54927,37279,36373,50819,36196,31165,29151,30634,36578,49153,25146,30469,27546,23351,52282,28151,27748,26611,29007,24009,25097,30057,26002,19321,16846,23498,14645,11519,8385,15095,17768,21077,22389,27035,27727,45707,62350,32600,30800,31395,26979,23429,30465,24556,40280,39697,44047,48786,81295,36085,30197,40936,25563,0,4006,26823,27293,24421,31853,30024,19995,16793,16684,6752,5266,7151,8313,12903,11731,9176,13275,10193,14728,12416,15670,20504,16799,20240,25297,27451,37567,27986,25568,22256,29038,48798,37756,26726,31738,57691,17802,19313,20991,21502,23042,23106,26635,24529,28311,26732,26007,26601,29240,34448,31285,89372,42520,38580,39859,41571,58672,57607,71482,54590,42086,44014,47993,46607,58313,55922,73113,72231
17216,16044,14390,15627,18401,23040,19726,19342,24839,26368,24730,22685,26668,29813,27252,21445,19510,18916,15536,18890,15660,5312,8684,3000,6441,8673,10480,11257,8656,10103,14216,12304,15241,21832,22182,20791,23506,24987,28767,25809,28489,33288,33427,37940,32410,29981,28871,35039,34559,38978,34863,36287,29214,31703,25310,34001,27026,29670,35106,44459,42409,44315,37204,39901,40846,42900,60037,44009,44112,50181,65908,53210,40753,39848,49323,39671,34640,32626,34109,35082,47657,28621,28972,31021,26826,43207,31618,30618,29482,30976,25978,24450,32026,27296,20616,18141,24793,15940,12814,9679,16390,19063,22372,23684,28329,29021,47001,63645,33895,32095,32690,28274,24724,31760,25851,27700,43484,44769,52572,85082,39871,33983,44723,26858,4009,0,30610,31080,28208,35639,33811,23781,20579,20470,10761,9053,10626,11788,16378,15206,12651,16750,13668,18515,16202,19144,24290,20586,24027,29084,31237,41353,31772,29355,26042,32824,52585,41543,30201,35213,53651,21277,22788,24466,24977,26517,26580,30110,28004,31786,30207,29482,30076,32715,37923,34760,92847,45995,34092,38363,40074,62147,61082,74957,58065,40590,42518,46497,45111,61788,59397,76588,75706
35753,34581,32928,35579,35172,39551,38263,37880,43641,48339,41435,40495,44008,51291,46191,37956,35367,31725,28813,37427,34197,30026,26311,29540,29108,29517,29017,29795,25938,27385,30879,31830,36071,38275,35067,37964,38725,41707,42197,43380,45910,46172,49965,64543,48496,52770,47811,54092,56515,58515,51587,52994,46915,49404,43011,50715,42942,40718,56500,60355,68034,61022,53911,56624,57553,65080,76744,65915,66019,72088,87815,75117,53638,52733,65109,52556,47525,45511,46305,50867,63442,39169,44758,43176,39710,47944,41691,38377,37241,38734,33737,32209,39784,43278,28375,29553,30613,22946,25201,25163,24188,24092,29622,21847,31965,32657,50637,52933,28796,21377,21978,17556,15261,21048,14543,12709,14769,34057,39184,77448,31201,11889,8685,10065,23974,27981,0,6510,5411,6986,8852,8229,10933,14899,21210,26063,27464,30051,30567,26473,24019,32008,20650,13764,17706,20976,16166,14488,16392,19111,23603,33719,24138,21721,17917,23788,46243,35202,39268,44281,52441,34162,35673,38230,34045,35585,36842,39177,37072,40853,39274,38550,39143,41782,46991,43828,101915,55063,43160,54149,55860,71215,70150,84024,67133,56376,58303,74642,68183,70856,68465,85656,84774
36748,35577,33923,36574,36167,47271,45042,39695,42000,46698,46855,48278,49348,49650,44550,36314,33726,30083,27171,29790,35192,28385,24670,30535,30103,30512,30012,30790,26934,28380,31874,32825,37066,39270,36062,38959,39720,42702,43192,44376,46905,47167,50960,66079,53067,51128,46169,55628,54874,60051,53123,51352,45274,47763,41369,49074,44478,39077,52684,56539,64218,62914,55722,58161,55912,66616,75102,67452,67555,73624,89352,76654,54633,53728,66104,53551,48520,46506,47300,51862,64437,40165,45753,44172,40705,44128,46613,45998,43382,41696,32095,30567,42806,39463,26733,27912,26797,21305,23559,23522,22547,22451,25806,18031,28149,28841,46821,49118,24981,17562,18163,13740,15861,17232,12901,7818,10305,30241,34720,44939,27348,6971,4870,8424,24969,28976,6361,0,4771,6259,8124,7855,11928,15895,22205,27059,28459,31046,31562,27468,25014,33003,21645,14759,18701,21971,17161,15483,17387,20106,24598,34714,25133,22716,18912,24783,47239,36197,40263,45276,53436,35157,36668,39225,35040,36580,37838,40173,38067,41848,40269,39545,40139,42778,47986,44823,102910,56058,44155,55144,56855,72210,71145,85020,68128,57371,59298,75638,69179,71851,69460,86651,85769
32373,31201,29548,32199,31792,36171,34883,34500,43532,39455,38055,37115,40628,43528,46082,37847,35258,31616,28704,34047,30817,28471,27542,26160,25728,26137,25637,26415,22558,24005,27499,28450,32691,34895,31687,34584,35345,38327,38817,40000,42530,42792,46585,50993,45116,44120,47702,53983,56406,58406,51478,52885,46806,49295,42902,50606,42833,40609,54477,58332,66011,60913,53802,56515,57444,64971,76635,65806,65910,71979,87707,75008,50258,49353,61729,49176,44145,42131,42925,47487,60062,35789,41378,39796,36330,45921,48405,47790,37132,43489,33628,32100,44599,41255,28266,29444,28590,22837,25092,25054,24079,23983,27599,19824,29942,30634,48614,50910,26773,19354,19955,15533,15152,19025,14434,9611,13340,32034,37755,75701,17959,10460,6662,9956,20594,24601,6033,4563,0,4078,5470,3553,9186,13153,19261,22683,24084,26671,27187,23093,20639,28628,17270,11815,14326,17596,14419,12742,14646,17364,21857,31973,22392,19974,16171,22041,42863,31822,35888,40901,50694,30782,32293,34850,30665,32205,33462,35797,33692,37473,35894,35170,35763,38402,43611,40448,98535,51683,39780,50769,52480,67835,66770,80644,63753,52996,54923,71262,64803,67476,65085,82276,81394
41164,39992,38338,40990,40583,44962,43674,43290,44789,49487,46846,45906,49419,52319,47340,39104,36515,32873,29961,42838,39608,37262,36333,34950,34518,34928,34428,35205,31349,32796,36290,37241,41482,43685,40477,43375,44136,47118,47608,48791,51321,51583,55376,70422,53906,52911,48959,59972,57663,64394,57466,54142,48064,50552,44159,51864,48822,41867,57028,60883,68562,67258,60065,62504,58702,70960,77892,71795,71899,77968,93695,80997,59049,58143,70520,57967,52935,50921,51716,56278,68853,44580,50169,48587,45121,48471,50956,50341,47725,46040,34885,33357,47150,43806,29523,30701,31141,24094,26349,26311,25337,25241,30149,22375,32492,33185,51164,53461,29324,21905,22506,18083,20204,21576,15691,10809,11345,34585,36579,39463,16122,4609,7861,11213,29385,33391,7260,5761,4369,0,2244,7191,12170,22561,28052,31474,32874,35461,35978,31884,29430,37419,26061,20605,23117,26386,21957,20280,22184,18504,15108,39511,29930,27512,23709,29579,51654,40612,44679,49691,58233,39573,41084,43641,39456,40996,42253,44588,42482,46264,44685,43960,44554,47193,52401,49238,107326,60474,48571,59560,61271,76626,75561,89435,72544,61786,63714,80053,73594,76267,73876,91067,90185
