"X001","X002","X003","X004","X005","X006","X007","X008","X009","X010","X011","X012","X013","X014","X015","X016","X017","X018","X019","X020","X021","X022","X023","X024","X025","X026","X027","X028","X029","X030","X031","X032","X033","X034","X035","X036","X037","X038","X039","X040","X041","X042","X043","X044","X045","X046","X047","X048","X049","X050","X051","X052","X053","X054","X055","X056","X057","X058","X059","X060","X061","X062","X063","X064","X065","X066","X067","X068","X069","X070","X071","X072","X073","X074","X075","X076","X077","X078","X079","X080","X081","X082","X083","X084","X085","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207"
1499,1518,1198,880,984,1307,1763,1913,2035,1596,1398,1324,1555,1761,2192,1902,1861,2189,1997,1974,1454,2921,2097,2462,1495,1465,1893,1189,793,440,0,781,723,1467,1243,1326,1704,1783,2032,1705,2448,2608,2310,2451,2123,2065,2078,2540,2425,2346,2570,2739,2520,2942,2014,3164,2284,2379,2752,3320,4077,4060,2764,2747,3237,2808,5482,3473,3080,4249,5543,4218,3160,3557,4186,3591,2783,2543,2917,2946,4380,2277,2048,2445,1946,4347,2907,3103,3079,2738,2333,2487,2938,3441,2216,2323,3114,2630,2227,1846,2852,2889,3298,3330,3647,4131,5847,6390,4536,3717,3365,3189,3262,3259,3423,3198,3458,4185,3097,4873,3450,2925,3216,3197,1462,2105,3596,3216,2856,3187,2856,2414,2692,2518,2296,1493,1152,712,824,1001,964,1000,1583,1899,1411,1170,1988,1931,2199,2759,3101,3455,2942,2717,2468,2866,3918,3488,1846,2177,3763,1294,1382,1691,1582,2020,1965,2340,2261,2679,2721,2108,2264,2600,2572,3020,6140,3098,2841,3122,3095,3906,3830,5331,3241,2751,2902,3585,3031,3563,3544,5409,4936
1075,1105,697,665,1013,1178,1470,1500,1742,1408,1345,1298,1436,1602,1899,1489,1448,1776,1565,1549,1041,2579,1693,2192,1154,963,1552,531,649,882,885,0,896,1175,1290,1033,1411,1490,1739,1412,2339,2433,2369,2158,2135,1773,1785,2247,2133,2053,2277,2446,2227,2649,1721,2871,1992,1966,2339,2907,3664,3767,2471,2454,2945,2515,5189,3180,2787,3957,5250,3925,3021,3417,3893,3275,2643,2404,2624,2654,4088,1978,1755,2152,1742,3934,2494,2690,2666,2325,1920,2074,2525,3028,1802,1910,2701,2198,1795,1414,2421,2457,2866,2898,3372,3855,5571,5958,4105,3285,2933,2757,2831,2827,2991,2935,3277,4003,2916,4602,3269,2744,3035,2766,1191,1835,3326,2946,2586,3006,2674,2144,2422,2191,1969,1166,1240,1174,1171,1348,1311,1347,1671,1629,1758,1517,2222,2049,1929,2569,2831,3184,2672,2483,2304,2679,3647,3768,2125,2456,4042,1573,1403,1664,2029,2194,1929,2091,2541,2432,3000,2504,2660,2996,2851,3313,5847,3378,2548,2829,2802,3613,3537,5038,2948,2458,2609,3292,2738,3271,3251,5116,4643
1538,1507,1187,919,1022,1345,1671,1870,1943,1634,1437,1362,1593,1799,2100,1891,1849,2178,1985,1963,1442,3058,2114,2906,1703,1384,2253,1323,1337,1100,740,1168,0,1375,1432,1284,1612,1691,1940,1613,2486,2634,2348,2359,2161,2051,1986,2448,2333,2254,2478,2647,2428,2850,1922,3072,2192,2367,2740,3308,4065,3968,2672,2655,3145,2716,5390,3380,2988,4157,5451,4126,3222,3651,4184,3565,2844,2604,2824,2944,4378,2269,2046,2353,2032,4335,2896,3091,3068,2726,2321,2476,2926,3429,2204,2311,3102,2619,2216,1834,2841,2877,3286,3319,3635,4119,5835,6378,4525,3705,3353,3177,3251,3247,3412,3388,3648,4374,3287,5252,3640,3114,3405,3186,1848,2549,3745,3365,3005,3377,3045,2563,3072,2690,2646,1898,1485,1091,1014,1191,1154,1190,1875,2137,1600,1360,2178,2121,2579,2948,3481,3834,3322,2906,2658,3056,4297,3678,2036,2367,3952,1483,1571,1880,1771,2209,2155,2382,2451,2869,2911,2298,2453,2790,2762,3209,6138,3288,2839,3119,3093,3903,3828,5329,3239,2749,2899,3583,3029,3561,3542,5407,4933
1500,1529,1209,845,771,1068,1322,1521,1593,1260,1197,1150,1288,1454,1751,1747,1871,2200,2007,1985,1464,3080,2136,2928,1725,1406,2275,1345,1482,1464,1204,1151,1113,0,784,517,1043,1404,1590,1263,2191,2134,2220,2010,1986,1624,1636,2099,1984,1905,2129,2297,2078,2501,1573,2722,1843,2153,2529,3096,3728,3619,2322,2306,2796,2367,5041,3031,2639,3808,5102,3777,2687,3083,3497,2879,2309,2070,2161,2258,3692,1582,1359,1689,1346,4357,2799,3024,3033,2748,2344,2498,2948,3451,2226,2333,3124,2641,2238,1856,2863,2899,3308,3341,3658,4141,5857,6400,4547,3727,3375,3199,3273,3269,3434,3378,3849,4509,3488,5274,3842,3316,3607,3208,1870,2571,3998,3618,3258,3578,3247,2816,3094,2842,2668,2021,1686,1292,1215,1392,1356,1391,2077,2301,1802,1561,2379,2322,2601,3150,3503,3856,3344,3108,2859,3233,4319,3855,2213,2544,4129,1182,1105,1367,1640,1628,1631,1696,2122,2036,2612,2299,2672,2816,2939,2917,5451,3352,2152,2433,2406,3217,3141,4643,2552,2062,2213,2896,2342,2875,2855,4720,4247
1673,1701,1381,1018,944,1193,1447,1647,1719,1385,1322,1323,1461,1627,1923,1873,2044,2372,2180,2157,1637,3252,2308,2899,1898,1578,2447,1518,1654,1663,1377,1324,1286,702,0,594,833,1173,1404,1436,2298,1764,2156,2182,2159,1797,1809,2271,2157,2077,2254,2423,2204,2626,1698,2848,1968,2278,2654,3222,3853,3744,2448,2431,2921,2539,5213,3194,2730,3919,5192,3868,2316,2713,3260,2747,1939,1699,1924,2020,3454,1409,1122,1452,1102,4530,2924,3149,3159,2921,2516,2670,3121,3624,2399,2506,3297,2813,2410,2029,3035,3072,3481,3513,3830,4314,6029,6550,4719,3880,3525,3277,3445,3419,3606,3168,3428,4155,3067,4983,3420,2895,3186,3281,1898,2542,3525,3146,2785,3157,2826,2343,2932,2775,2701,1898,1591,1343,1357,1346,1395,1404,2022,2234,1815,1575,2126,2031,2309,2729,3211,3565,3052,2817,2568,2736,4017,3358,1716,2047,3633,643,538,847,1102,1089,1097,1471,1584,1811,2073,1761,2133,2277,2442,2697,5214,2968,1915,2195,2169,2979,2904,4405,2315,1825,1976,2659,2105,2637,2618,4483,4009
1186,1277,957,664,492,681,935,1135,1207,873,810,763,901,1067,1364,1361,1619,1948,1755,1733,1212,2828,1884,2677,1473,1154,2023,1093,1230,1213,952,899,861,651,766,0,686,1027,1204,877,1804,1753,1834,1623,1600,1238,1250,1712,1598,1518,1742,1911,1692,2114,1186,2336,1457,1766,2142,2710,3341,3232,1936,1919,2410,1980,4654,2645,2252,3422,4715,3390,2305,2702,3116,2497,1928,1688,1780,1876,3310,1201,978,1308,964,3983,2412,2637,2647,2374,1969,2123,2574,3148,1922,2041,2821,2389,1986,1604,2611,2647,3056,3089,3354,3837,5553,6148,4295,3475,3123,2947,3021,3017,3182,3126,3597,4257,3236,5022,3590,3064,3355,2956,1618,2319,3746,3366,3006,3326,2995,2564,2842,2590,2417,1769,1434,1040,963,1140,1104,1139,1825,2049,1550,1309,2128,2070,2349,2898,3251,3605,3092,2856,2607,2981,4067,3603,1961,2292,3878,1133,880,1140,1589,1528,1215,1314,1808,1654,2404,2248,2403,2765,2682,2536,5070,2971,1771,2051,2025,2835,2760,4261,2171,1681,1831,2515,1960,2493,2474,4339,3865
1544,1796,1476,1213,1038,937,1174,1373,1445,1112,1049,908,1155,1321,1617,1599,2139,2467,2275,2252,1732,3347,2403,3226,1993,1673,2542,1613,1749,1732,1472,1419,1381,897,729,805,0,589,959,1041,1714,1594,1986,1876,1894,1491,1503,1965,1851,1771,1980,2149,1930,2353,1425,2574,1695,2005,2381,2948,3580,3471,2174,2158,2648,2233,4907,3024,2559,3749,5022,3698,2146,2543,2998,2380,1769,1529,1662,1759,3193,1083,860,1190,847,4221,2651,2876,2885,2613,2208,2362,2813,3386,2161,2280,3059,2714,2505,2124,3130,2879,3242,3515,3593,4076,5792,6522,4660,3849,3497,3322,3314,3392,3573,3496,3756,4482,3395,5310,3748,3222,3513,3347,2138,2869,3853,3473,3113,3485,3153,2671,3259,3109,2936,2225,1919,1670,1483,1674,1723,1659,2350,2568,2070,1829,2453,2358,2637,3056,3539,3892,3379,3144,2895,3064,4344,3686,2044,2374,3960,1096,843,1103,1552,1410,1098,1197,1690,1537,2286,2211,2583,2734,2564,2418,4952,2853,1653,1934,1907,2718,2642,4144,2053,1563,1714,2397,1843,2376,2356,4221,3748
1507,1637,1317,1019,850,820,1074,1274,1292,863,806,599,734,900,1196,1500,1979,2308,2115,2093,1573,3188,2244,3037,1833,1514,2383,1453,1590,1573,1312,1259,1221,1052,1083,806,626,0,588,550,1349,1283,1595,1455,1408,1070,1082,1544,1430,1350,1832,2019,1831,2253,1325,2475,1596,1906,2281,2849,3480,3341,2069,1886,2394,1812,4486,2477,2084,3254,4547,3223,1870,2267,3471,2301,1493,1253,1473,1818,3604,1491,1294,1002,950,4122,2551,2776,2786,2513,2108,2263,2713,3287,2062,2181,2960,2614,2346,1964,2971,2780,3143,3415,3493,3977,5693,6423,4561,3750,3398,3222,3215,3292,3473,3417,3957,4532,3596,5382,3950,3424,3614,3247,1978,2680,4106,3726,3366,3686,3355,2924,3202,2950,2777,2129,1794,1401,1323,1501,1464,1499,2185,2409,1910,1670,2488,2430,2709,3258,3611,3965,3452,3216,2968,3417,4427,4039,2397,2728,4314,1450,1196,1432,1905,1899,1586,1605,2098,1945,2694,2564,2763,3081,2973,2827,5361,3261,2061,2342,2315,3126,3050,4552,2461,1972,2122,2805,2251,2784,2765,4630,4156
2157,2287,1967,1669,1500,1470,1724,1924,1943,1513,1456,1249,1425,1550,1846,2150,2630,2958,2765,2743,2223,3838,2894,3816,2483,2164,3033,2103,2240,2223,1962,1910,1872,1613,1445,1520,1028,650,0,1120,1364,935,1327,1490,1600,1490,1732,2112,1974,1450,2004,2312,2481,2813,1975,3125,2246,2556,2932,3499,3656,3513,2239,1821,2494,2052,4726,2365,1900,3089,4363,3038,1487,1884,3087,1918,1109,870,1090,1434,3221,1270,911,618,852,4772,3201,3426,3436,3163,2758,2913,3363,3937,2712,2831,3610,3264,2996,2615,3621,3430,3793,4065,4143,4627,6343,7073,5211,4400,4048,3872,3865,3942,4123,4085,4345,5071,3984,5899,4337,3812,4103,3898,2629,3459,4442,4062,3702,4074,3742,3260,3848,3600,3427,2815,2508,2260,1974,2263,2312,2149,2939,3059,2560,2320,3043,2948,3226,3645,4128,4482,3969,3733,3485,3653,4933,4275,2633,2964,4550,1686,1425,1251,1663,1558,1245,1384,1877,1795,2516,2322,2694,2839,2848,2702,5225,3137,1937,2218,2191,2990,2915,4416,2325,1836,1986,2669,2115,2648,2629,4494,4020
1681,1960,1678,1159,990,1042,1319,1519,1551,1122,1064,739,732,939,1286,1745,2302,2631,2438,2416,1895,3511,2567,3360,2156,1837,2706,1776,1913,1913,1653,1582,1562,1375,1490,1129,1264,904,1038,0,1069,1265,1094,1449,907,797,1172,1731,1519,1440,1922,2108,1958,2380,1570,2720,1841,2151,2526,3094,3558,3430,2158,1975,2483,1902,4576,2624,2148,3337,4610,3286,2028,2397,3600,2363,1725,1309,1695,2267,3752,1898,1743,1451,1685,4367,2796,3021,3031,2758,2353,2508,2958,3532,2307,2425,3205,2859,2669,2287,3294,3025,3388,3660,3738,4222,5937,6668,4806,3995,3643,3467,3459,3537,3718,3662,4298,4777,3937,5705,4291,3765,3859,3492,2301,3002,4395,4016,3655,4027,3696,3213,3525,3340,3100,2452,2135,1741,1664,1841,1805,1840,2526,2732,2251,2010,2828,2771,3032,3599,3934,4287,3775,3557,3308,3682,4750,4304,2662,2993,4578,1857,1603,1864,2312,2391,2078,2011,2505,2351,3101,2971,3104,3488,3388,3233,5767,3668,2468,2748,2722,3532,3457,4958,2868,2378,2529,3212,2658,3190,3171,5036,4562
