"001","002","003","004","005","006","007","008","009","010"
43754,53939,54298,44794,46001,42348,42803,49878,47731,39456
31056,41241,41601,32096,33303,29650,30105,37180,35033,26758
28609,37821,31128,25487,24592,27202,27657,33759,31612,24311
32114,41326,26941,24268,23373,30708,31163,37265,35117,27816
36856,44539,40573,34099,34495,34147,37320,39214,44472,37474
33710,42922,27071,24398,23503,20768,32759,38861,36714,29412
22005,30146,26180,20540,19644,16909,20311,22205,33423,18156
20363,28524,24558,18897,18002,15267,18668,20563,18953,16262
22639,28592,24626,18152,20146,15878,19572,21467,20567,17876
21574,29257,25291,18817,19214,18865,22038,23933,24664,18760
