"001","002","003","004","005","006","007","008","009","010"
4771,5052,5175,4839,4663,4481,4564,4706,4377,4219
3500,3780,3903,3568,3391,3210,3292,3435,3106,2948
2665,2906,3104,2699,2530,2375,2457,2561,2232,2113
3051,3293,3634,3115,2946,2761,2844,2948,2619,2499
4379,4470,4150,3857,3685,3729,3983,4183,4356,3921
3469,3711,3683,3165,2996,3048,3261,3365,3036,2917
2757,2959,2639,2234,2065,2118,2395,2594,2291,2186
2635,2879,2559,2113,1944,1997,2273,2473,2506,2076
2976,3073,2753,2461,2288,2306,2543,2743,2762,2332
2841,2931,2611,2319,2146,2190,2445,2644,2716,2524
