X001,X002,X003,X004,X005,X006,X007,X008,X009,X010,X011,X012,X013,X014,X015,X016,X017,X018,X019,X020,X021,X022,X023,X024,X025,X026,X027,X028,X029,X030,X031,X032,X033,X034,X035,X036,X037,X038,X039,X040,X041,X042,X043,X044,X045,X046,X047,X048,X049,X050,X051,X052,X053,X054,X055,X056,X057,X058,X059,X060,X061,X062,X063,X064,X065,X066,X067,X068,X069,X070,X071,X072,X073,X074,X075,X076,X077,X078,X079,X080,X081,X082,X083,X084,X085,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207
0,2375,2138,2269,3924,2978,2186,3990,5690,4436,4679,5150,6877,7199,7539,5764,7085,9404,9342,6512,4299,14993,11737,11593,8828,6248,7839,4791,8185,9124,7761,4952,6801,6929,7963,5673,7456,8047,10708,8475,10958,12908,14309,15005,11986,9696,9964,11916,12712,14606,13712,14653,12001,13246,8748,12236,9328,10426,18209,24902,21166,23906,17859,16362,21179,19919,30186,20013,18260,24475,33757,23076,18166,19554,25445,19673,15042,14595,16104,17422,19530,13861,14018,13536,10863,23469,13578,13061,13409,14985,11265,12756,15611,15341,13736,11162,22949,15621,12667,11602,15457,18073,20369,21690,26052,25272,29604,31823,25238,26383,29099,23994,21339,27830,17900,23704,29486,36422,44694,52266,40147,28278,24145,20217,10800,11915,21612,23880,23905,26522,27835,23223,20557,16989,14387,12413,12047,10216,10608,13180,12736,14510,15159,17913,17984,16801,22782,22767,25476,24748,30351,40767,33192,27555,24938,26926,33905,30748,26302,28826,35207,10083,9561,11153,13102,13689,12936,15303,15939,17612,18096,17094,20145,20847,25424,20769,24064,19546,21583,24843,25291,28412,32796,29518,24638,26251,27599,30268,31236,36525,42390,33857,56628
2375,0,2655,4428,6063,5249,3430,3624,5653,5525,6378,7308,8526,8070,7668,3886,4710,7103,7302,4670,2062,14223,10661,10830,7967,5520,8094,4957,8886,10151,9158,5997,8604,9094,10273,8040,9821,10303,12944,10396,12933,14895,16001,16290,13390,11213,10494,12562,13687,15461,13920,14291,11475,12333,8116,11149,8170,8851,16871,23913,20405,23574,17766,16924,21402,20603,30729,21138,19744,25810,35386,24900,20005,21620,27589,21931,17123,16804,18374,19756,21887,16235,16387,15848,13224,21909,11832,11019,11256,12803,8944,10419,13321,12967,11377,8835,20643,13616,10764,10073,13866,16121,18294,19715,23917,23072,27391,30176,23251,24674,27531,22336,19684,26432,16511,22457,28445,35162,43378,51235,39454,27408,23261,19110,10774,11444,21081,23240,23501,26006,27312,23113,20569,17206,14442,12926,12894,11570,12284,14608,13820,15759,15951,18349,18678,17790,23342,23162,25755,24870,30403,40740,33469,27952,25627,27800,34756,32233,27948,30623,36976,12300,11900,13500,15378,16008,15297,17668,18257,19973,20401,19276,22242,23035,27610,23042,26355,21912,23954,27207,27664,30785,35170,31891,26983,28572,29908,32625,33572,38897,44741,36113,58796
2138,2655,0,2625,3976,4667,4305,5714,7601,6571,6744,6887,8926,9331,9532,6539,6746,8521,7976,5060,3669,12865,9678,9471,6737,4164,5810,2690,6365,7533,6505,3349,6075,6891,8348,6488,8555,9534,12190,10361,12772,14694,16284,17109,14073,11763,12065,14037,14850,16744,15759,16514,13778,14822,10452,13697,10728,11501,19498,26451,22847,25797,19829,18480,23243,22051,32309,22136,20308,26556,35725,24948,20041,21223,26992,21034,16717,16088,17457,18566,20544,14662,14972,14796,11921,24563,14483,13588,13746,15257,11198,12603,15610,14844,13008,10318,21917,14101,11072,9738,13592,16475,18900,20097,24645,23978,28321,29940,23644,24548,27175,22134,19485,25830,15920,21657,27383,34366,42651,50153,38008,26150,22021,18137,8712,9777,19476,21742,21777,24387,25699,21141,18501,14989,12331,10520,10339,8915,9670,11953,11200,13114,13427,16001,16200,15202,20935,20845,23511,22728,28315,38714,31232,25639,23161,25261,32229,29578,25307,28018,34358,10117,10047,11662,13279,14029,13522,15906,16254,18158,18344,16981,19833,20735,25295,20892,24240,20137,22230,25777,26099,29060,33481,30341,25698,27411,28796,31242,32323,37335,43390,35184,58101
2269,4428,2625,0,1660,2613,3812,6081,7532,5654,5158,4662,7162,8325,9189,8027,9043,11066,10601,7685,6049,14698,11844,11393,8864,6402,6885,4353,6791,7404,5799,3552,4602,4685,5878,3867,5935,7025,9654,8210,10486,12359,14207,15411,12327,9980,11234,13029,13502,15468,15128,16422,13891,15296,10743,14357,11496,12676,20385,26930,23099,25585,19429,17457,22493,20862,31181,20519,18372,24704,33564,22665,17779,18758,24449,18435,14273,13541,14860,15941,17923,12070,12355,12184,9295,25696,15843,15315,15633,17199,13367,14831,17749,17263,15518,12859,24521,16704,13662,12190,16021,19054,21509,22672,27261,26603,30947,32309,26215,26975,29501,24539,21903,28039,18194,23776,29297,36435,44744,51991,39562,27920,23833,20174,9932,11420,20981,23329,23132,25832,27143,22194,19447,15749,13335,11017,10388,8224,8428,11108,10888,12533,13488,16482,16355,14971,21212,21324,24107,23509,29140,39585,31789,26082,23263,25117,32091,28597,24095,26576,32962,7875,7543,9156,10952,11611,10991,13375,13855,15653,15987,14867,17887,18624,23201,18615,21933,17617,19692,23168,23516,26527,30937,27757,23075,24785,26171,28629,29700,34756,40776,32571,55517
3924,6063,3976,1660,0,3310,5239,7625,8922,6779,5907,4806,7635,9282,10441,9686,10614,12496,11835,8933,7576,14877,12359,11704,9415,7148,6784,4906,6286,6522,4688,3406,3149,3032,4373,2817,5019,6504,8997,8234,10267,12036,14185,15739,12660,10333,12215,13880,14127,16116,16159,17684,15249,16759,12189,15875,13054,14299,21936,28357,24459,26753,20538,18247,23408,21521,31834,20869,18455,24826,33344,22329,17499,18162,23669,17505,13746,12803,13956,14840,16713,10752,11139,11226,8208,27290,17482,16975,17289,18851,14983,16434,19375,18792,16983,14293,25848,17777,14710,13012,16776,20048,22589,23648,28363,27782,32123,32926,27175,27680,30069,25223,22613,28479,18749,24138,29445,36709,45028,52029,39386,27949,23915,20479,9768,11511,20840,23236,22868,25619,26922,21730,18935,15161,12940,10359,9488,6998,6949,9748,9783,11270,12531,15717,15410,13844,20294,20516,23350,22865,28497,38942,30980,25229,22240,23967,30923,27107,22544,24968,31359,6241,6076,7689,9354,10064,9555,11938,12297,14183,14407,13216,16227,16975,21550,17003,20333,16165,18262,21888,22162,25090,29513,26405,21877,23654,25065,27363,28506,33390,39512,31554,54597
2978,5249,4667,2613,3310,0,2663,5128,5955,3552,2620,2224,4550,5973,7258,7936,9893,12345,12314,9463,7253,17261,14280,13926,11309,8774,9498,6881,9336,9778,7994,6144,6399,5549,5909,3358,4685,5072,7731,5711,8105,10032,11678,12798,9715,7369,8905,10586,10936,12913,12851,14470,12143,13812,9256,13064,10410,11946,19180,25302,21322,23473,17242,14977,20105,18316,28637,17907,15795,22111,31092,20282,15376,16615,22474,16702,12102,11617,13137,14515,16676,11179,11229,10599,8043,24671,15210,15124,15641,17247,13842,15363,18079,18111,16610,14084,25890,18579,15603,14399,18256,21014,23338,24635,29028,28249,32580,34606,28183,29209,31840,26798,24148,30465,20571,26250,31852,38937,47237,54570,42173,30507,26410,22682,12544,14011,23592,25937,25744,28445,29756,24777,22016,18291,15926,13523,12760,10301,10105,12990,13093,14554,15824,18946,18702,17153,23582,23767,26580,26035,31669,42117,34236,28499,25548,27271,34222,30154,25474,27703,34101,8299,7283,8786,11021,11420,10448,12760,13650,15090,15841,15241,18475,18935,23485,18607,21820,16970,18950,22016,22534,25751,30099,26743,21750,23324,24659,27411,28330,33745,39511,30887,53652
2186,3430,4305,3812,5239,2663,0,2492,3720,2281,2958,4207,5096,5028,5436,5333,7669,10352,10726,8079,5471,17107,13752,13699,10895,8324,10019,6975,10297,11123,9603,7030,8359,7964,8539,6008,7267,7276,9830,7007,9555,11515,12575,12997,10035,7812,7779,9733,10584,12454,11547,12635,10079,11522,6954,10647,7878,9314,16731,23135,19287,21841,15742,14178,19004,17747,28005,17945,16370,22503,31977,21470,16578,18268,24290,18799,13791,13611,15284,16847,19085,13756,13733,12885,10543,22150,12569,12466,13005,14614,11345,12875,15507,15747,14403,12009,23804,17038,14194,13407,17233,19549,21694,23139,27282,26386,30686,33572,26672,28084,30901,25732,23077,29732,19797,25676,31541,38395,46644,54332,42294,30382,26243,22241,12985,14075,23776,26030,26083,28690,30002,25408,22737,19152,16568,14539,14083,12035,12180,14913,14670,16344,17196,20038,20042,18752,24868,24893,27622,26916,32524,42945,35333,29675,26981,28896,35873,32345,27771,30129,36526,10885,9945,11448,13673,14083,13093,15387,16312,17718,18504,17866,21064,21574,26131,21270,24483,19578,21531,24443,25031,28309,32631,29216,24093,25578,26873,29790,30623,36208,41844,32948,55499
3990,3624,5714,6081,7625,5128,2492,0,2033,2961,4546,6329,6230,4828,4050,3308,6378,9282,10186,7961,5162,17836,14227,14449,11586,9141,11497,8341,12056,13091,11747,8893,10683,10435,11026,8484,9606,9331,11728,8442,10948,12860,13379,13157,10448,8503,6950,9040,10337,12013,10296,10803,8069,9257,4770,8277,5430,6824,14313,20912,17192,20090,14186,13345,17779,17051,27126,17819,16776,22636,32492,22357,17551,19625,25744,20568,15253,15343,17132,18859,21165,16047,15942,14888,12772,19685,10083,10092,10714,12326,9399,10924,13363,13979,12901,10759,22370,16363,13738,13434,17127,18919,20829,22431,26247,25217,29456,33282,25913,27734,30724,25464,22831,29768,19899,25900,31969,38569,46741,54744,43062,30987,26841,22628,14302,15062,24705,26859,27122,29630,30936,26691,24113,20670,17959,16234,15984,14201,14509,17150,16719,18499,19090,21714,21890,20776,26646,26556,29207,28383,33944,44307,36928,31351,28851,30889,37866,34677,30163,32575,38971,13377,12404,13882,16148,16528,15482,17741,18747,20070,20942,20355,23556,24059,28611,23723,26914,21895,23808,26525,27192,30542,34825,31342,26081,27467,28715,31804,32539,38310,43783,34610,56894
5690,5653,7601,7532,8922,5955,3720,2033,0,2680,4415,6480,5434,3240,2017,4594,8001,10940,12047,9947,7153,19869,16255,16481,13617,11163,13410,10269,13868,14794,13318,10641,12061,11493,11774,9216,9914,9210,11334,7720,10079,11896,12004,11427,8897,7196,4962,7059,8476,10072,8270,8964,6360,7868,3302,7121,4640,6508,13241,19434,15567,18221,12230,11324,15758,15040,25094,15942,15129,20835,30832,20944,16232,18574,24732,19891,14344,14691,16579,18484,20860,16135,15885,14554,12799,18779,9739,10281,11097,12678,10365,11843,13965,15044,14219,12287,23656,18123,15595,15412,19066,20684,22480,24149,27785,26677,30861,35138,27597,29579,32619,27339,24719,31719,21874,27889,33983,40542,48694,56750,45094,33016,28870,24643,16266,17079,26733,28891,29141,31658,32964,28674,26074,22590,19911,18083,17732,15753,15871,18629,18371,20063,20845,23578,23674,22449,28468,28429,31110,30323,35899,46280,38831,33221,30626,32588,39566,36019,31396,33658,40056,14210,12972,14339,16757,16995,15791,17941,19158,20246,21350,21060,24352,24695,29201,24177,27273,21983,23802,26190,26972,30430,34631,31050,25623,26880,28069,31355,31964,37964,43210,33755,55760
4436,5525,6571,5654,6779,3552,2281,2961,2680,0,1752,3800,3281,2767,3708,6268,9222,12065,12708,10191,7474,19387,16016,15979,13172,10603,12214,9221,12376,13058,11394,9099,9915,9069,9179,6641,7234,6595,8857,5482,7990,9909,10593,10773,7868,5740,5605,7497,8304,10176,9475,10923,8609,10367,5878,9738,7320,9136,15849,21774,17773,19980,13788,11946,16868,15484,25759,15681,14226,20291,29895,19556,14707,16680,22790,17627,12294,12403,14218,16012,18354,13482,13269,12053,10153,21422,12389,12768,13493,15096,12350,13872,16238,16939,15834,13618,25299,18987,16226,15590,19391,21523,23558,25084,29056,28075,32337,35693,28596,30181,33056,27854,25203,31940,22011,27917,33811,40634,48871,56603,44572,32662,28522,24503,15209,16347,26047,28307,28339,30957,32270,27616,24922,21295,18761,16621,16042,13764,13652,16516,16502,18048,19141,22107,22009,20581,26865,26956,29718,29063,34683,45116,37415,31724,28911,30721,37685,33699,28995,31155,37548,11633,10317,11665,14102,14320,13111,15271,16479,17581,18671,18420,21735,22037,26533,21498,24594,19336,21180,23704,24431,27847,32083,28545,23208,24552,25786,28937,29630,35490,40878,31652,53953
4679,6378,6744,5158,5907,2620,2958,4546,4415,1752,0,2096,2200,3444,5142,7825,10535,13281,13680,10996,8427,19581,16408,16201,13480,10904,12012,9226,11935,12398,10595,8711,8930,7785,7655,5184,5530,4851,7182,4064,6614,8571,9667,10380,7330,5021,6355,7973,8344,10312,10311,12160,10048,11936,7529,11392,9054,10888,17481,23185,19105,21004,14742,12356,17502,15710,26030,15444,13581,19812,29103,18525,13628,15337,21389,16048,10880,10828,12591,14321,16644,11731,11521,10353,8402,23083,14139,14500,15200,16807,13927,15455,17903,18456,17236,14909,26674,19993,17132,16245,20091,22499,24652,26093,30233,29321,33612,36450,29627,30981,33749,28613,25957,32507,22576,28381,34125,41097,49372,56888,44627,32861,28742,24879,15054,16407,26053,28370,28253,30930,32242,27352,24604,20894,18492,16136,15378,12866,12534,15473,15681,17083,18435,21565,21314,19728,26196,26388,29200,28645,34278,44726,36856,31118,28144,29826,36763,32406,27632,29686,36068,10120,8681,9978,12457,12627,11384,13526,14767,15834,16955,16796,20140,20379,24855,19789,22865,17584,19430,22000,22703,26105,30351,26831,21537,22925,24181,27262,27995,33786,39238,30140,52591
