X__gid,cod,tipo,cveigecem,nom_mun,deleg,cveinegi,nom_reg,num_reg,uso,tipologia,valm2,distrito_centro,area,distrito1_nombre,distrito1_puntos,distrito1_area,distrito2_nombre,distrito2_puntos,distrito2_area,distrito3_nombre,distrito3_puntos,distrito3_area,distrito4_nombre,distrito4_puntos,distrito4_area,distrito5_nombre,distrito5_puntos,distrito5_area
3692,85,H1,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional precario,Habitacional,NA,153,343156.1121,153,50,323732.18,173,3,19423.93,0,0,0.00,0,0,0.00,0,0,0.00
3685,75,E1,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Equipamiento,Equipamiento,NA,179,549348.4403,176,27,255731.17,179,31,293617.27,0,0,0.00,0,0,0.00,0,0,0.00
3707,82,E1,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Equipamiento,Equipamiento,NA,153,215495.3006,152,19,63975.17,153,45,151520.13,0,0,0.00,0,0,0.00,0,0,0.00
3669,88,H3,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional interés social,Habitacional,NA,152,102604.5654,152,67,102604.57,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1500,48,H1,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Habitacional precario,Habitacional,NA,142,169006.6864,142,102,169006.69,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
966,155,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,123941.1479,171,106,123941.15,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1882,149,H3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional interés social,Habitacional,NA,161,50137.07856,161,112,50137.08,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
891,173,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,140831.5928,171,119,140831.59,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6602,49,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,129,7279.463957,129,144,7279.46,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1003,3,E1,12,AYAPANGO,Nezahualcóyotl,15017,Amecameca,I,Equipamiento,Equipamiento,NA,206,90196.45778,206,148,90196.46,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3688,81,H1,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional precario,Habitacional,NA,152,81060.19566,152,148,81060.20,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6044,85,H1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Habitacional precario,Habitacional,NA,140,1229878.177,24,10,81991.88,140,140,1147886.30,0,0,0.00,0,0,0.00,0,0,0.00
2228,15,H4,96,ISIDRO FABELA,Naucalpan de Juárez,15038,Naucalpan,VIII,Habitacional residencial medio,Habitacional,NA,100,37983.90944,100,151,37983.91,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2219,1,H1,96,ISIDRO FABELA,Naucalpan de Juárez,15038,Naucalpan,VIII,Habitacional precario,Habitacional,NA,100,2190418.808,100,153,2190418.81,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1608,75,H3,1,CUAUTITLÁN,Naucalpan de Juárez,15024,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,132,64106.35354,131,1,408.32,132,156,63698.03,0,0,0.00,0,0,0.00,0,0,0.00
6795,13,E1,122,VALLE DE CHALCO SOLIDARIDAD,Nezahualcóyotl,15122,Amecameca,I,Equipamiento,Equipamiento,NA,201,69615.34527,201,154,68285.12,202,3,1330.23,0,0,0.00,0,0,0.00,0,0,0.00
1803,185,H3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional interés social,Habitacional,NA,161,60524.33629,161,156,59758.21,162,2,766.13,0,0,0.00,0,0,0.00,0,0,0.00
876,20,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,701577.5412,171,160,701577.54,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
669,111,H2,81,ATENCO,Ecatepec de Morelos,15011,Texcoco,XI,Habitacional popular,Habitacional,NA,172,432242.7639,170,2,5303.59,172,161,426939.17,0,0,0.00,0,0,0.00,0,0,0.00
3554,98,H2,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Habitacional popular,Habitacional,NA,106,411969.8454,106,122,299168.58,107,46,112801.27,0,0,0.00,0,0,0.00,0,0,0.00
1922,108,H3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional interés social,Habitacional,NA,162,42805.70231,162,171,42805.70,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2233,113,H2,15,IXTAPALUCA,Nezahualcóyotl,15039,Chimalhuacán,III,Habitacional popular,Habitacional,NA,194,251109.0849,194,171,251109.08,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1512,42,H1,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Habitacional precario,Habitacional,NA,143,34848.73851,143,172,34848.74,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1943,148,H3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional interés social,Habitacional,NA,159,50316.45459,159,172,50316.45,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2633,24,H1,97,JILOTZINGO,Naucalpan de Juárez,15046,Naucalpan,VIII,Habitacional precario,Habitacional,NA,100,258516.6904,100,176,258516.69,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
