X__gid,cod,tipo,cveigecem,nom_mun,deleg,cveinegi,nom_reg,num_reg,uso,tipologia,valm2,distrito_centro,area,distrito1_nombre,distrito1_puntos,distrito2_nombre,distrito2_puntos,distrito3_nombre,distrito3_puntos,distrito4_nombre,distrito4_puntos,distrito5_nombre,distrito5_puntos,distrito6_nombre,distrito6_puntos,distrito7_nombre,distrito7_puntos,distrito8_nombre,distrito8_puntos,distrito9_nombre,distrito9_puntos,distrito10_nombre,distrito10_puntos,suma
876,20,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,701577.5412,171,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481
5549,37,I1,120,TEQUIXQUIAC,Ecatepec de Morelos,15096,Zumpango,XVI,Industrial económica,Industrial,NA,134,6910883.78,134,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697
6892,27,H2,37,VILLA DEL CARBÓN,Naucalpan de Juárez,15112,Cuautitlán Izcalli,IV,Habitacional popular,Habitacional,NA,122,463116.3884,122,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716
1957,6,H1,14,ECATZINGO,Nezahualcóyotl,15034,Amecameca,I,Habitacional precario,Habitacional,NA,207,1448485.967,207,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787
879,8,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,1882949.239,171,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811
4918,7,H2,48,TEMASCALAPA,Ecatepec de Morelos,15084,Ecatepec,V,Habitacional popular,Habitacional,NA,171,411506.3058,171,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818
2125,126,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,3461519.322,134,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825
6897,6,H1,37,VILLA DEL CARBÓN,Naucalpan de Juárez,15112,Cuautitlán Izcalli,IV,Habitacional precario,Habitacional,NA,122,7158568.673,122,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878
2111,102,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,1993450.18,134,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904
622,20,H1,116,APAXCO,Ecatepec de Morelos,15010,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,57912.35323,134,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910
2015,19,H1,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Habitacional precario,Habitacional,NA,133,1832678.155,133,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948
629,22,I3,116,APAXCO,Ecatepec de Morelos,15010,Zumpango,XVI,Industrial mediana,Industrial,NA,134,405162.6898,134,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961
1942,12,I3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Industrial mediana,Industrial,NA,158,6997881.888,139,23,140,1,147,41,148,112,149,193,150,203,151,62,155,27,157,144,158,165,971
2084,115,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,1079243.896,134,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971
2053,28,I2,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Industrial ligera,Industrial,NA,133,687177.8911,133,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
6908,22,H1,37,VILLA DEL CARBÓN,Naucalpan de Juárez,15112,Cuautitlán Izcalli,IV,Habitacional precario,Habitacional,NA,122,2264129.998,122,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
2169,42,H1,95,HUIXQUILUCAN,Naucalpan de Juárez,15037,Naucalpan,VIII,Habitacional precario,Habitacional,NA,100,3831485.321,60,9,100,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980
4653,46,E1,47,TECÁMAC,Ecatepec de Morelos,15081,Ecatepec,V,Equipamiento,Equipamiento,NA,167,245437.2089,166,203,167,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986
3618,43,H3,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Habitacional interés social,Habitacional,NA,58,68651.87126,58,813,101,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992
6815,24,C2,122,VALLE DE CHALCO SOLIDARIDAD,Nezahualcóyotl,15122,Amecameca,I,Comercial medio,Comercial,NA,194,144877.391,193,127,194,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992
1496,53,H3,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,141,234933.3518,141,882,147,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993
