"V1","V2"
"001","5577149.61138497"
"002","9156849.02942745"
"003","5191540.97910459"
"004","6281365.89844766"
"005","7694411.12538406"
"006","6219199.24390935"
"007","4834927.84112343"
"008","6884404.99764407"
"009","5165333.30537502"
"010","4220497.88355961"
"011","3854858.63722512"
"012","7051929.08224284"
"013","7397105.66825864"
"014","6984747.53126817"
"015","8084510.28185626"
"016","13671974.1390334"
"017","8866739.16920207"
"018","6775067.72272557"
"019","7267578.25603381"
"020","13775391.0163021"
"021","8476208.45433318"
"022","12192321.180496"
"023","5725619.05823973"
"024","6915333.20070248"
"025","10672925.2172274"
"026","9902710.30124842"
"027","5697283.89924465"
"028","5277955.25228747"
"029","4904529.57028737"
"030","4527836.24411415"
"031","6171625.43655426"
"032","6716225.28615139"
"033","10360930.7458316"
"034","7440484.68031744"
"035","6888599.40055095"
"036","3531758.7867397"
"037","7591654.00027245"
"038","9109114.20617271"
"039","6971985.34639082"
"040","6123557.08837041"
"041","8783568.29693294"
"042","6886215.92524925"
"043","11269544.8611439"
"044","9960039.93429478"
"045","8210882.84766822"
"046","9053487.02601902"
"047","12950923.2066485"
"048","3549580.14333035"
"049","8046831.82489993"
"050","3986302.34069991"
"051","16924843.1392925"
"052","13007830.8184738"
"053","11376935.0514291"
"054","7065531.40339261"
"055","5299280.46748615"
"056","7222080.9251111"
"057","7271314.4798693"
"058","25263771.8937185"
"059","18699069.9351759"
"060","42479620.5430708"
"061","42870472.7368212"
"062","53611582.9476132"
"063","11076076.7274439"
"064","13664871.2916467"
"065","11399113.8518918"
"066","18399616.8165362"
"067","230231583.593259"
"068","25130817.3745297"
"069","14428942.4513994"
"070","43101266.1719248"
"071","298518912.758253"
"072","35552029.8525539"
"073","22536285.3205753"
"074","15919415.3447223"
"075","39245734.9345563"
"076","7518402.13038904"
"077","6370173.45988154"
"078","5550349.15818951"
"079","5543116.34310455"
"080","7742050.95303992"
"081","30136357.0678231"
"082","5091463.73440239"
"083","7163369.48914127"
"084","9760656.00018793"
"085","6598379.6733756"
"100","366177778.569323"
"101","17372420.9357923"
"102","20520712.9556795"
"103","3707847.37549743"
"104","4200227.28174276"
"105","5657816.84702401"
"106","5055968.85570494"
"107","7129551.40859292"
"108","33926333.6011361"
"109","12036097.338913"
"110","13949773.3508537"
"111","70656739.7862024"
"112","11077622.7452061"
"113","17546856.0806732"
"114","10345916.0558825"
"115","17175912.0630177"
"116","12912356.2517256"
"117","9130262.56115949"
"118","8416333.66567233"
"119","7512039.88401993"
"120","14850449.7011217"
"121","204119688.378234"
"122","513327671.003439"
"123","32651301.2833183"
"124","15439927.6943654"
"125","10855719.1135348"
"126","11489204.469945"
"127","13844241.2961328"
"128","33412695.903092"
"129","20574717.2810319"
"130","17963006.8166031"
"131","25297373.1295485"
"132","92458350.3820449"
"133","147692579.462999"
"134","461201034.885398"
"135","133528237.478446"
"136","20232435.7612834"
"137","14337662.4786092"
"138","10684416.9936806"
"139","10817570.7931333"
"140","10346645.9104589"
"141","20372535.2301665"
"142","8565382.79135643"
"143","6092894.63176727"
"144","9098502.83697395"
"145","4422918.13224903"
"146","13500403.5690036"
"147","27046035.1457007"
"148","6510349.63439089"
"149","8078419.3733746"
"150","9093699.51013329"
"151","6216469.38717421"
"152","4573315.947625"
"153","6895725.74747391"
"154","4870180.99880207"
"155","5456866.21565149"
"156","5215777.99479724"
"157","5965982.33434424"
"158","11233689.0255407"
"159","7244035.98840325"
"160","5498260.20410082"
"161","9010971.08418953"
"162","6661871.15977366"
"163","8409901.24244293"
"164","36476963.22061"
"165","45455705.9404632"
"166","133308916.894588"
"167","37666265.9387576"
"168","9843796.09111154"
"169","9624760.58047041"
"170","28753197.4191569"
"171","868041157.849212"
"172","153149335.439564"
"173","186125668.64025"
"174","51679264.3501005"
"175","373482979.016886"
"176","4763334.26428295"
"177","3581134.36829003"
"178","4539486.15467148"
"179","9247147.77148599"
"180","3355126.48925114"
"181","4168021.55980192"
"182","5266159.5216235"
"183","4733559.75292428"
"184","5303842.65516521"
"185","10219527.9617318"
"186","6771343.23133344"
"187","6623526.58603597"
"188","9863279.95244954"
"189","17415424.9194973"
"190","8865402.4838575"
"192","10983351.177557"
"193","26403691.0978389"
"194","9588819.17327198"
"195","37893460.7780671"
"196","13970682.3552743"
"197","254654726.71117"
"198","10086060.1542443"
"199","10115524.0676254"
"200","6800359.10082773"
"201","25665870.3310013"
"202","6527025.02872271"
"203","17213044.0029748"
"204","32218845.9722543"
"205","276980288.485522"
"206","320491266.962843"
"207","486790183.426084"
"300","76075814.9081133"
"191","40433145.9607903"
