"X__gid","cod","tipo","cveigecem","nom_mun","deleg","cveinegi","nom_reg","num_reg","uso","tipologia","valm2","distrito_centro","area","distrito1_nombre","distrito1_puntos","distrito2_nombre","distrito2_puntos","distrito3_nombre","distrito3_puntos","distrito4_nombre","distrito4_puntos","distrito5_nombre","distrito5_puntos"
652,"017","H2","081","ATENCO","Ecatepec de Morelos","15011","Texcoco","XI","Habitacional popular","Habitacional",NA,"170",42268.3922868259,"170",100,"0",0,"0",0,"0",0,"0",0
1015,"007","I2","012","AYAPANGO","Nezahualcóyotl","15017","Amecameca","I","Industrial ligera","Industrial",NA,"206",35579.3641726077,"206",100,"0",0,"0",0,"0",0,"0",0
653,"006","H2","081","ATENCO","Ecatepec de Morelos","15011","Texcoco","XI","Habitacional popular","Habitacional",NA,"173",168432.406336769,"173",100,"0",0,"0",0,"0",0,"0",0
82,"033","E1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Equipamiento","Equipamiento",NA,"170",260543.758023167,"170",100,"0",0,"0",0,"0",0,"0",0
2461,"007","H2","118","JALTENCO","Ecatepec de Morelos","15044","Zumpango","XVI","Habitacional popular","Habitacional",NA,"135",619208.443893075,"135",100,"0",0,"0",0,"0",0,"0",0
1416,"015","H2","085","CHIMALHUACÁN","Texcoco","15031","Chimalhuacán","III","Habitacional popular","Habitacional",NA,"186",753558.268612325,"179",1,"183",14,"185",44,"186",41,"0",0
1417,"016","H2","085","CHIMALHUACÁN","Texcoco","15031","Chimalhuacán","III","Habitacional popular","Habitacional",NA,"186",568247.453323857,"183",1,"186",99,"0",0,"0",0,"0",0
614,"021","H1","116","APAXCO","Ecatepec de Morelos","15010","Zumpango","XVI","Habitacional precario","Habitacional",NA,"134",64988.5975935985,"134",100,"0",0,"0",0,"0",0,"0",0
954,"110","C2","044","AXAPUSCO","Texcoco","15016","Ecatepec","V","Comercial medio","Comercial",NA,"171",58283.8338842932,"171",100,"0",0,"0",0,"0",0,"0",0
87,"063","H1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional precario","Habitacional",NA,"171",139169.538417033,"171",71,"172",29,"0",0,"0",0,"0",0
1593,"076","H1","001","CUAUTITLÁN","Naucalpan de Juárez","15024","Tultitlán","XIV","Habitacional precario","Habitacional",NA,"130",39181.6211364182,"130",100,"0",0,"0",0,"0",0,"0",0
88,"005","H3","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional interés social","Habitacional",NA,"171",409011.076393541,"171",100,"0",0,"0",0,"0",0,"0",0
80,"003","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"172",1477321.23498502,"172",100,"0",0,"0",0,"0",0,"0",0
83,"029","E1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Equipamiento","Equipamiento",NA,"170",347973.200981443,"170",99,"172",1,"0",0,"0",0,"0",0
84,"040","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"170",385578.60585279,"169",18,"170",82,"0",0,"0",0,"0",0
89,"089","H3","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional interés social","Habitacional",NA,"172",20241.863911984,"172",100,"0",0,"0",0,"0",0,"0",0
94,"045","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"169",531913.785420794,"169",85,"170",15,"0",0,"0",0,"0",0
90,"064","H1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional precario","Habitacional",NA,"170",589065.824331833,"170",33,"171",27,"172",40,"0",0,"0",0
81,"022","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"172",1813844.3739045,"171",8,"172",92,"0",0,"0",0,"0",0
85,"041","H1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional precario","Habitacional",NA,"170",613029.361066972,"169",9,"170",91,"0",0,"0",0,"0",0
93,"038","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"170",139743.037498569,"170",100,"0",0,"0",0,"0",0,"0",0
95,"072","H1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional precario","Habitacional",NA,"172",82511.0371522861,"172",100,"0",0,"0",0,"0",0,"0",0
96,"070","H1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional precario","Habitacional",NA,"172",167648.009937605,"172",100,"0",0,"0",0,"0",0,"0",0
97,"071","H1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional precario","Habitacional",NA,"172",173471.412933359,"172",100,"0",0,"0",0,"0",0,"0",0
98,"069","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"172",248072.048251249,"172",100,"0",0,"0",0,"0",0,"0",0
957,"021","H1","044","AXAPUSCO","Texcoco","15016","Ecatepec","V","Habitacional precario","Habitacional",NA,"171",154027.403546752,"171",100,"0",0,"0",0,"0",0,"0",0
103,"058","I2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Industrial ligera","Industrial",NA,"170",242787.539458211,"170",91,"172",9,"0",0,"0",0,"0",0
104,"034","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"170",246857.233731399,"170",94,"171",6,"0",0,"0",0,"0",0
105,"006","H3","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional interés social","Habitacional",NA,"171",416557.690566332,"171",100,"0",0,"0",0,"0",0,"0",0
124,"017","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"171",193553.943228794,"171",86,"172",14,"0",0,"0",0,"0",0
110,"090","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"172",777194.181760145,"171",6,"172",94,"0",0,"0",0,"0",0
101,"057","E1","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Equipamiento","Equipamiento",NA,"170",4545.28893655958,"170",93,"171",7,"0",0,"0",0,"0",0
111,"086","H2","080","ACOLMAN","Ecatepec de Morelos","15002","Ecatepec","V","Habitacional popular","Habitacional",NA,"171",426046.889434352,"171",100,"0",0,"0",0,"0",0,"0",0
