X__gid,cod,tipo,cveinegi,tipologia,distrito,area
564,104,A1,15009,Agrícola,NA,884882.3765
91,15,A1,15002,Agrícola,NA,204939.8034
652,17,H2,15011,Habitacional,NA,42268.39229
1015,7,I2,15017,Industrial,NA,35579.36417
653,6,H2,15011,Habitacional,NA,168432.4063
945,51,A4,15016,Agrícola,NA,110672.2647
82,33,E1,15002,Equipamiento,NA,260543.758
946,92,G1,15016,Eriazo,NA,672019.3124
995,56,G1,15016,Eriazo,NA,135376.203
2461,7,H2,15044,Habitacional,NA,619208.4439
1416,15,H2,15031,Habitacional,NA,753558.2686
1417,16,H2,15031,Habitacional,NA,568247.4533
614,21,H1,15010,Habitacional,NA,64988.59759
86,80,A1,15002,Agrícola,NA,70278.20729
954,110,C2,15016,Comercial,NA,58283.83388
87,63,H1,15002,Habitacional,NA,139169.5384
1593,76,H1,15024,Habitacional,NA,39181.62114
88,5,H3,15002,Habitacional,NA,409011.0764
80,3,H2,15002,Habitacional,NA,1477321.235
83,29,E1,15002,Equipamiento,NA,347973.201
84,40,H2,15002,Habitacional,NA,385578.6059
89,89,H3,15002,Habitacional,NA,20241.86391
94,45,H2,15002,Habitacional,NA,531913.7854
90,64,H1,15002,Habitacional,NA,589065.8243
81,22,H2,15002,Habitacional,NA,1813844.374
85,41,H1,15002,Habitacional,NA,613029.3611
92,116,A4,15002,Agrícola,NA,598229.2633
93,38,H2,15002,Habitacional,NA,139743.0375
95,72,H1,15002,Habitacional,NA,82511.03715
96,70,H1,15002,Habitacional,NA,167648.0099
97,71,H1,15002,Habitacional,NA,173471.4129
98,69,H2,15002,Habitacional,NA,248072.0483
957,21,H1,15016,Habitacional,NA,154027.4035
99,7,A1,15002,Agrícola,NA,111960.9712
102,98,A2,15002,Agrícola,NA,241363.9852
103,58,I2,15002,Industrial,NA,242787.5395
107,68,A1,15002,Agrícola,NA,349081.8353
108,102,A4,15002,Agrícola,NA,4998979.325
104,34,H2,15002,Habitacional,NA,246857.2337
105,6,H3,15002,Habitacional,NA,416557.6906
124,17,H2,15002,Habitacional,NA,193553.9432
109,85,A4,15002,Agrícola,NA,555074.8781
110,90,H2,15002,Habitacional,NA,777194.1818
